;;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.Average;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.STD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;Raw.RSD;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.Average;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.STD;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration;ExtCal.StandardConcentration
;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;;Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial);Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial);Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial);Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial);Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial);Be 234.861 {144} (Radial);Fe 238.204 {142} (Radial);K 766.490 {44} (Radial);Ca 184.006 {483} (Radial);K 769.896 {44} (Radial);Ca 396.847 {85} (Radial);Ti 334.941 {101} (Radial);Al 394.401 {85} (Radial);Al 237.312 {142} (Radial);Be 313.107 {108} (Radial);Mg 279.553 {121} (Radial);Mg 285.213 {118} (Radial);Ti 338.376 {100} (Radial);Fe 240.488 {140} (Radial);Na 589.592 {57} (Radial);Na 818.326 {41} (Radial)
;;Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (cps);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (%);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm);Y (ppm)
1;BLANK;-0.203;0.586666666666667;52.7108333333332;0.367963203679632;115.57;126.608333333333;0.181111111111107;19.9791666666667;-0.921666666666668;1.6375;3.02083333333333;1.01416666666666;-0.182500000000005;1.72333333333333;289.156666666667;-16.4108333333331;0.497363046476113;0.788160853420289;13.8110062666419;0.282808661754676;6.28951563671195;3.82000059082313;1.62302396474096;3.70402019770412;0.568680551315451;0.888863389391182;1.58894018225287;1.56580372954098;0.523579427276006;1.08949609274706;4.74044140584033;12.6978322734413;245.006426835523;134.345600014822;26.2014568794686;76.8578648426228;5.44216979900662;3.0171794306508;896.14820139073;18.539412876934;61.7013256400127;54.2817337032783;52.5993991366467;154.393136848742;286.892836863558;63.2202761748778;1.63940242515833;77.3746952121558;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.00132089724633;0.016913527698128;0.054070876149681;0.128818906650684;0.052736736697256;0.000210971260905;0.002364411007464;0.059946698979136;0.20915736983399;0.000297991751612;0.000415312570941;0.005641515083416;0.001456268583603;0.040021692771101;0.007331478009819;0.387952890504532;;;;;;;;;;;;;;;;
2;930ppb;377.840732769452;47.302702565993;287.376098899186;2.97353597973536;224.95574503059;18298.3394336879;672.016821228485;83.720320277982;3.2124018562164;2978.51615278838;4051.73184213719;282.553167819107;344.717388132636;29.1459698765625;919.088503823566;14.0478409497549;2.01703883570525;1.41118179684091;7.32338474341631;0.395728228770148;16.7941191440787;35.9310161264465;3.64029627134664;4.51107571171595;0.393570138649026;16.8037817018475;12.7898407166559;2.0779221749522;3.8889596994326;0.905587689187113;4.48093960613563;14.366395968612;0.533833083828999;2.98330057330686;2.54836250177696;13.3083383374889;7.46552133700566;0.19636216858179;0.541697195122582;5.38826857892748;12.2515848347995;0.564166210282808;0.315663553635118;0.735409265091837;1.12815884353831;3.10707687211101;0.487541688041375;102.26764397459;1.00400890083285;1.00250217160765;0.918727880218993;1.18683435693863;0.9171846557531;1.00358964139521;0.978725997100363;1.03160121818149;1.52048614456673;0.997999574139232;1.05824032700871;1.0143714001991;0.959294512752191;1.00734673764587;0.974240796671599;0.930594330953276;0.00535685363579;0.030283237621337;0.028671468379111;0.180253594231151;0.140816414255174;0.001984400682035;0.005303160496324;0.073008267592587;0.144752787579272;0.005633473493004;0.003342971427932;0.007486653065767;0.010816639344764;0.033265977285475;0.006930137380295;0.438931994228111;0.922849767347765;0.929170523973296;0.923216467732146;0.926101820756626;0.923216467732146;0.926101820756626;0.928060772810034;0.928803823588914;0.928803823588914;0.922849767347765;0.926101820756626;0.926101820756626;0.928060772810034;0.929170523973296;0.923959518511026;0.923959518511026
3;9400ppb;3668.82306807839;448.923744119017;2468.85613432689;21.2012132120121;1224.48569479892;178046.466833558;6645.83800514943;623.503334472313;27.0232520211416;28989.0978379283;37901.524352055;2706.70778490411;3446.81758851836;269.489483267158;6433.21541089977;297.430436691103;26.2998422645996;3.88106956187074;20.8796173725988;0.387095974832718;9.10939770983976;1126.74622132908;55.7841375420345;7.09585384599509;0.556575583986562;197.513616327912;180.958879053735;9.16207929304166;12.1346190714033;2.41303619025055;27.4327937788567;12.6933905946094;0.716846840978207;0.864527575721592;0.845720294604829;1.82581992342494;0.743936637931539;0.632838292928546;0.839384551636843;1.13806189216301;2.0596173382505;0.681337575360805;0.477444857818558;0.338495324251127;0.352052835979043;0.895410151444904;0.426424299929044;4.26768381064918;9.7442028803185;9.62108374791898;9.45934646668008;9.48951305593939;9.29810789796178;9.82617044040687;9.68135077081304;9.76757136381275;10.2779771164084;9.71805587222464;9.90580080168318;9.74848320412706;9.58738574336779;9.83615697063354;9.5022863311604;9.58869397891294;0.069847145806967;0.083285762351935;0.081744891227322;0.176321615955622;0.076381065926652;0.062228019441967;0.081265977404912;0.114840900373458;0.20470523388072;0.066216506607456;0.047298506346475;0.0330105284283;0.033750876384914;0.088640788796455;0.042427045736671;0.387817185283007;9.34517106918239;9.40917775157233;9.34888443396227;9.37810275157233;9.34888443396227;9.37810275157233;9.39793993710692;9.40546438679245;9.40546438679245;9.34517106918239;9.37810275157233;9.37810275157233;9.39793993710692;9.40917775157233;9.3564088836478;9.3564088836478
4;21800ppb;8117.56969616159;1015.93439451498;5594.2749407465;48.1218544812185;2711.31058608068;391500.95224616;14918.5071602905;1361.67890611397;57.464667805311;64343.6638791611;82559.1838353788;6009.36449233141;7828.38519342071;592.350054159848;14317.1845372281;692.53453305163;27.4340458443907;6.68896824499493;42.082167560318;0.619681482357555;11.1960623048161;1986.74026939627;79.9883298136504;3.14996680879834;1.77270348489468;326.456718337773;359.741691592824;33.6218547305012;34.6952076051153;3.16993635416727;55.0870412754637;10.1892475302481;0.337958858023269;0.658405531017416;0.752236313124478;1.28773400160505;0.412939128489907;0.507467544586479;0.536168458105248;0.231329632459967;3.08485814431324;0.507364204424023;0.435737945653801;0.559491020613017;0.443197501756487;0.535145786162425;0.384761690625864;1.4712981149618;21.5591883567993;21.7888415082647;21.6955391042849;21.7518233865992;21.7649332205305;21.6148497514964;21.7329226739086;21.7143714418422;21.4741512157542;21.5706860827232;21.5782901624484;21.6477955373268;21.7741503822104;21.6961596472739;21.6954855147973;21.6601856266527;0.072859364740275;0.143541828032518;0.164754082818712;0.282263953776004;0.093877465916252;0.109723831125253;0.116526491036894;0.050979773867958;0.651989939762244;0.109444725122005;0.094028238746121;0.121137915957167;0.096500240851299;0.116444858971953;0.085196587650993;0.311308886926619;21.734208223429;21.8830695500388;21.7428444530644;21.8107979441427;21.7428444530644;21.8107979441427;21.8569335919317;21.8744333204034;21.8744333204034;21.734208223429;21.8107979441427;21.8107979441427;21.8569335919317;21.8830695500388;21.7603441815361;21.7603441815361
5;CARRIERS1030-40200ppm;439.607;1.06;42.2658333333338;0.593107355931073;106.211666666667;147.113333333333;2.40777777777778;286.8;11.2325;3469.9525;6.49416666666667;0.964166666666668;0.807499999999996;2.385;291.816666666667;-20.2141666666665;5.75569131382481;0.734630586598075;11.3262690146254;0.201444458179832;9.80271513195854;1.84766040124561;1.82262275408372;5.12223163713254;1.29336716021057;25.1261338190811;0.948416077233798;1.26505036680583;2.39540104795744;0.227199893632601;5.03834945967002;10.3865421071905;1.30928108829587;69.3047723205732;26.7976947841052;33.9642488270274;9.22941465811215;1.25594353644284;75.6972994312575;1.78599429467662;11.5145084372185;0.724105987591506;14.6041228369121;131.206606756006;296.644092626309;9.52620099088474;1.7265461624319;51.3824897086561;1.16804781140119;0.010157490579542;-0.040892769902472;0.102552812038637;-0.078468357411249;0.001132451580048;0.003243793863179;4.31828859548603;4.47023118100942;1.16275377558252;0.000907849780951;-0.000180147580983;0.002753557192397;0.024305750361566;0.004113906245543;-0.116202051534819;0.015285970401311;0.015764795625662;0.044342988288042;0.091757638159173;0.082194438601089;0.0001020427184;0.002655185256551;0.082899353044285;0.475692852223531;0.008423544852179;0.000247894240298;0.004557915268032;0.006662498771999;0.008345990776033;0.0077922170336;0.317336766312438;;;;;;;;;;;;;;;;
6;20-unknown;528.242546478414;149.056711212842;1130.33728793275;3.12585408125854;646.071421490992;23798.3655896587;4498.18676626584;1350.47655593181;59.4903607754219;4186.30738266387;1903.34903315062;131.840717837409;2320.47576465904;86.5326171922502;1512.12145599909;15.1475443648636;2.08306563219896;1.91468907003546;7.6652968579661;0.331524932748045;16.2324894439605;149.102466107399;21.5780098151193;6.2768240137028;0.87280926193138;21.0250508688918;8.03554783341227;1.6364165568148;12.1544203863837;1.1744184872335;10.599997987019;8.38301991137394;0.3943388593149;1.28453731097114;0.678142439411604;10.6058991920239;2.51249148375879;0.626523975126218;0.479704621803247;0.464785855491723;1.46714400544025;0.50223380528529;0.422179416042836;1.24120725649635;0.523790016318897;1.35719746534915;0.701001757826085;55.3424351132402;1.4034461790519;3.18609101159569;4.21896894674513;1.25621501586041;4.44818256264266;1.3073454721992;6.55266608116927;21.5330700778147;22.2191892036712;1.40291199202895;0.496702266777161;0.471361734434904;6.45461136944275;3.11539538813806;1.89141446801294;0.964193224796084;0.005532207663865;0.041088245475337;0.030010073781278;0.151009092504705;0.136107225292603;0.008234641469484;0.03143470770285;0.101585536689252;0.321014125012423;0.007048655407421;0.002100308159444;0.005895929683806;0.033805951186304;0.043141243179827;0.016393758617179;0.256123780479985;;;;;;;;;;;;;;;;
7;21-unknown;752.300158059832;1243.31421478351;2289.0455773351;7.58790787587908;1200.01737940407;58954.9328119155;18073.5299964689;1659.61549942385;71.5932940066699;5900.35424134906;3520.17197608199;242.319235942568;9488.92552515837;733.185679575006;1918.5338566577;49.2729066418814;5.43256940450797;5.38928526983448;17.2995558244106;0.33528379645364;21.9227405978007;315.819540514925;122.118885215178;17.6770522262773;1.22758574835871;30.9349757264082;29.5368433431889;2.91690643603084;68.1636398394141;4.45287269178934;11.9545255828415;11.2455465916574;0.72212790949273;0.433461244611676;0.755754100997443;4.41865929236517;1.8268685915772;0.535696548959674;0.675678106263894;1.06512937679926;1.71466582923862;0.52429014362594;0.839073873205021;1.20374530923421;0.718349402771569;0.607332196445854;0.623107355721503;22.8229819551559;1.99849859449369;26.6682958371848;8.75537789481785;3.28867359641889;9.09294438761575;3.24897483576504;26.3291399108187;26.5362445204737;26.6705770277645;1.97754678052468;0.919302752739819;0.86941049017931;26.3927289415257;26.8696340352172;2.51996428505647;2.00681472504806;0.014427822930859;0.115651297942601;0.067728746361498;0.152721249090697;0.183819210471567;0.017442103763166;0.17790201666399;0.286089403428469;0.451498834940643;0.010370961064333;0.007720254345246;0.010509472768093;0.189588364382981;0.163572411140545;0.018488645660812;0.343581661151875;;;;;;;;;;;;;;;;
